time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,RSI,%K,%D
2020-01-11T00:00:00Z,0.9997,1.001,0.999,0.9994,0.99875,0.9983500000000001,0.9981,0.9999,1.00075,0.9985749999999998,1.00085787100224,0.9962921289977595,584309.33640942,1308533.8369068534,0.0002149587809977308,9.849373202586165e-7,-0.00021397384367747218,51.8906167748831,63.49206349206355,64.72663139329804
2020-01-12T00:00:00Z,0.9995,1.0001,0.9982,0.9994,0.9994000000000001,0.9983500000000001,0.9984,1.0000749999999998,1.00025,0.9985649999999998,1.0008315171548818,0.9962984828451177,722326.19763434,1257122.2014411849,0.00019542279527742616,0.00003030465041931052,-0.00016511814485811564,51.8906167748831,67.72486772486725,64.72663139329804
2020-01-13T00:00:00Z,0.9995,1,0.9972,0.9998,0.99935,0.9983500000000001,1.0007,0.9994999999999999,1.00025,0.9985949999999999,1.000909713807914,0.9962802861920859,1113629.3534518,1241568.1411516764,0.00019996604818903614,0.00008483941537817952,-0.00011512663281085661,53.9842913021457,68.78306878306817,66.66666666666642
2020-01-14T00:00:00Z,0.9998,1.0057,0.9985,0.9998,1.00145,1.00045,1.0006,0.999525,0.9997499999999999,0.998655,1.0010285837907786,0.9962814162092212,4420567.16879954,1417876.134529957,0.0001933807079579164,0.0001265992521365389,-0.0000667814558213775,53.9842913021457,61.164021164021,65.8906525573189
2020-01-15T00:00:00Z,0.9998,1,0.9945,0.999,1.0001,1.0001,0.9998,0.999525,0.9997499999999999,0.9986749999999999,1.0010531295194782,0.9962968704805215,3082554.35894513,1508631.761333834,0.00012867051075387702,0.00009405668262096878,-0.000034613828132908245,49.034566197567656,52.33465608465618,60.76058201058188
2020-01-16T00:00:00Z,0.999,0.9998,0.9972,0.9991,1.0001,1.0001,1.004,0.999525,0.9996,0.9986949999999999,1.0010803511295303,0.9963096488704695,3307485.84737715,1560237.2405536713,0.00008806362604522845,0.00007546570442362732,-0.000012597921621601133,49.65594518571293,41.68650793650792,51.72839506172846
2020-01-17T00:00:00Z,0.9989,1,0.9974,0.9983,1.0001,1.0001,1.0021,0.999525,0.9996,0.9987149999999998,1.001079973575333,0.9963500264246665,3364376.98035348,1650515.2688087698,0.00000705629839291532,-0.000003777548630456984,-0.000010833847023372304,44.935872491407736,38.392857142856826,44.13800705467374
2020-01-18T00:00:00Z,0.9979,1,0.9979,0.9994,1.0001,1.0001,1,0.9995499999999999,0.9996,0.9987449999999999,1.001128673637579,0.9963613263624207,1329143.53041606,1666338.8345520287,0.000026210772286185683,0.0000219296183343598,-0.000004281153951825883,51.730115491179845,39.58333333333289,39.887566137565976
2020-01-19T00:00:00Z,0.999,0.9999,0.9966,0.9991,1.0001,1.0001,1.0017,0.9995499999999999,0.9996,0.9988699999999998,1.0010435684973182,0.9966964315026815,1648344.29022448,1645465.8251076788,0.00001773614476230967,0.00001788902700106121,1.528822387515359e-7,49.92098974803244,39.583333333332895,39.18650793650763
2020-01-20T00:00:00Z,0.9991,0.9999,0.9975,0.998,1.0001,1.0001,0.9995,0.9995499999999999,0.9996,0.9989549999999998,1.000832738004196,0.9970772619958038,1129456.81065518,1662780.0327082777,-0.000058706169602546684,-0.00007322982976443182,-0.000014523660161885135,43.86359787225764,38.69047619047584,39.285714285713965
2020-01-21T00:00:00Z,0.998,0.9991,0.9972,0.9982,1.0001,1.0001,1.0006,0.9995499999999999,0.9996,0.9990149999999998,1.0007064786467652,0.9973235213532343,1451706.77372767,1721844.4516260524,-0.00009064531469389408,-0.00012783030352925273,-0.000037184988835358656,45.166378837879215,35.11904761904733,37.79761904761878
2020-01-22T00:00:00Z,0.9983,0.9999,0.9962,0.9972,1.0001,1.0001,1.0005,0.99905,0.99935,0.9990249999999998,1.000670448271164,0.9973795517288356,1263119.94045999,1736255.4054194442,-0.0001693910302650186,-0.0002489237766666319,-0.00007953274640161331,40.149211993311944,29.464285714285378,34.42460317460294
2020-01-23T00:00:00Z,0.9972,0.9985,0.9957,0.9971,0.99725,1.0001,1.0022,0.99905,0.99935,0.9989599999999997,1.0007912837063775,0.9971287162936219,1833979.41123181,1728457.9908083673,-0.00021552424302927558,-0.0003489380501882078,-0.0001334138071589322,39.674598053498244,26.785714285713908,30.45634920634897
2020-01-24T00:00:00Z,0.9972,0.9991,0.997,0.9982,0.99785,1.0001,1.0004,0.99905,0.99935,0.9989749999999997,1.0007759719634175,0.9971740280365818,1885134.24603923,1785644.268593787,-0.00016172577167176415,-0.0003355710217486374,-0.00017384525007687324,47.08466875151362,26.785714285713908,27.67857142857116
2020-01-25T00:00:00Z,0.9982,0.9987,0.997,0.9978,0.99785,1.0001,1.0008,0.99905,0.99935,0.9989099999999999,1.0007807217890434,0.9970392782109563,1045475.30207288,1797602.187593226,-0.00014347015145051552,-0.00035318293939001766,-0.00020971278793950214,44.92369454854762,28.571428571428328,27.38095238095214
2020-01-26T00:00:00Z,0.9975,0.9984,0.9965,0.9979,0.99785,1.0001,1.001,0.99905,0.99935,0.998785,1.0005730436266922,0.9969969563733079,1217008.56896456,1798511.2089186187,-0.000116213262115009,-0.0003549793655832634,-0.00023876610346825437,45.59593723797239,30.95238095238078,28.7698412698411
2020-01-27T00:00:00Z,0.9978,1,0.996,0.9976,0.99785,1.0001,1.0017,0.9986999999999999,0.99935,0.99864,1.0003149925408394,0.9969650074591604,4061385.73620903,1914897.3468981658,-0.00011000559485626206,-0.0003762730970385819,-0.00026626750218231986,43.866134454147534,29.166666666666686,29.563492063492024
